# Source: Yahoo Finance (https://finance.yahoo.com/)
# Data for S&P 500 (^GSPC) and Tesla Inc. (TSLA)
# Date Range: 2010-01-01 to 2023-12-31
Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2010-01-04,^GSPC,1116.56,1133.87,1116.56,1132.99,1132.99,3991400000
2010-01-05,^GSPC,1132.66,1136.63,1129.66,1136.52,1136.52,2491020000
...
2023-12-28,^GSPC,4786.44,4793.30,4780.98,4783.35,4783.35,2733030000
2023-12-29,^GSPC,4782.88,4788.43,4751.99,4769.83,4769.83,3126040000
2010-06-29,TSLA,1.26,1.67,1.17,1.59,1.59,281494500
2010-06-30,TSLA,1.72,2.03,1.55,1.59,1.59,171879000
...
2023-12-28,TSLA,263.66,265.13,252.71,254.50,254.50,113943200
2023-12-29,TSLA,255.10,255.19,250.08,253.18,253.18,100653400
